route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11693,301,3331122,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,301,3331123,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,301,3331124,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,301,3331125,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,301,3331126,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,301,3331127,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,301,3331128,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,301,3331129,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,301,3331130,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,301,3331131,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,301,3331132,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,301,3331133,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,301,3331134,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,301,3331135,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,301,3331136,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,301,3331137,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,301,3331138,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,301,3331139,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,301,3331140,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,301,3331141,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,301,3331142,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,301,3331143,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,301,3331144,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,301,3331145,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,301,3331146,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,301,3331147,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,301,3331148,NORTH AVE STATION,,1,7011,HV_NA,1,1
11693,301,3331149,NORTH AVE STATION,,1,7012,HV_NA,1,1
11693,301,3331150,NORTH AVE STATION,,1,7005,HV_NA,1,1
11693,301,3331151,NORTH AVE STATION,,1,7008,HV_NA,1,1
11693,301,3331152,NORTH AVE STATION,,1,7001,HV_NA,1,1
11693,301,3331153,NORTH AVE STATION,,1,7002,HV_NA,1,1
11693,301,3331154,NORTH AVE STATION,,1,7013,HV_NA,1,1
11693,301,3354369,HUNT VALLEY,,0,7014,NA_HV,1,1
11693,301,3354372,HUNT VALLEY,,0,7016,CAM_HV,1,1
11693,301,3354374,CAMDEN STATION,,1,7015,NA_CAM,1,1
11693,301,3354375,CAMDEN STATION,,1,7014,HV_CAM,1,1
11693,301,3354376,CAMDEN STATION,,1,7016,NA_CAM,1,1
11693,301,3354377,CAMDEN STATION,,1,7015,HV_CAM,1,1
11693,301,3354379,HUNT VALLEY,,0,7015,CAM_HV,1,1
11693,302,3308218,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,302,3308219,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,302,3308220,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,302,3308221,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,302,3308222,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,302,3308223,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,302,3308224,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,302,3308225,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,302,3308226,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,302,3308227,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,302,3308228,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,302,3308229,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,302,3308230,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,302,3308231,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,302,3308232,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,302,3308233,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,302,3308234,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,302,3308235,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,302,3308236,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,302,3308237,NORTH AVE STATION,,0,7009,GB_NA,1,1
11693,302,3308238,NORTH AVE STATION,,0,7006,GB_NA,1,1
11693,302,3308239,NORTH AVE STATION,,0,7003,GB_NA,1,1
11693,302,3308240,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,302,3308241,HUNT VALLEY,,0,7008,NA_HV,1,1
11693,302,3308242,HUNT VALLEY,,0,7005,NA_HV,1,1
11693,302,3308243,NORTH AVE STATION,,0,7010,BWI_NA,1,1
11693,302,3308244,NORTH AVE STATION,,0,7007,BWI_NA,1,1
11693,302,3308245,NORTH AVE STATION,,0,7004,BWI_NA,1,1
11693,302,3308246,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,302,3308247,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,302,3308248,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,302,3308249,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,302,3308250,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,302,3308251,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,302,3308252,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,302,3308253,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,302,3308254,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,302,3308255,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,302,3308256,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,302,3308257,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,302,3308258,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,302,3308259,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,302,3308260,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,302,3308261,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,302,3308262,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,302,3308263,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,302,3308264,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,302,3308265,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,302,3308266,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,302,3308267,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,302,3308268,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,302,3308269,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,302,3308270,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,302,3308271,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,302,3308272,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,302,3308273,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,302,3308274,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,302,3308275,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,302,3308276,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,302,3308277,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,302,3308278,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,302,3308279,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,302,3308280,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,302,3308281,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,302,3308282,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,302,3308283,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,302,3308284,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,302,3308285,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,302,3308286,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,302,3308287,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,302,3308288,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,302,3308289,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,302,3308290,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,302,3308291,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,302,3308292,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,302,3308293,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,302,3308294,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,302,3308295,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,302,3308296,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,302,3308297,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,302,3308298,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,302,3308299,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,302,3308300,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,302,3308301,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,302,3308302,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,302,3308303,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,302,3308304,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,302,3308305,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,302,3308306,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,302,3308307,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,302,3308308,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,302,3308309,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,302,3308310,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,302,3308311,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,302,3308312,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,302,3308313,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,302,3308314,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,302,3308315,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,302,3308316,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,302,3308317,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,302,3308318,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,302,3308319,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,302,3308320,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,302,3308321,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,302,3308322,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,302,3308323,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,302,3308324,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,302,3308325,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,302,3308326,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,302,3308327,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,302,3308328,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,302,3308329,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,302,3308330,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,302,3308331,CROMWELL STATION,,1,7001,NA_GB,1,1
11693,302,3308332,CROMWELL STATION,,1,7011,NA_GB,1,1
11693,302,3308333,CROMWELL STATION,,1,7009,NA_GB,1,1
11693,302,3308334,CROMWELL STATION,,1,7006,NA_GB,1,1
11693,302,3308335,CROMWELL STATION,,1,7003,NA_GB,1,1
11693,302,3308336,BWI AIRPORT,,1,7012,NA_BWI,1,1
11693,302,3308337,BWI AIRPORT,,1,7010,NA_BWI,1,1
11693,302,3308338,BWI AIRPORT,,1,7007,NA_BWI,1,1
11693,302,3308339,BWI AIRPORT,,1,7004,NA_BWI,1,1
11693,302,3308340,BWI AIRPORT,,1,7002,NA_BWI,1,1
