trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3308871,15:36:00,15:36:00,7646,17,,0,0,16.9159,0
3308871,15:38:00,15:38:00,7648,18,,0,0,17.4115,1
3308871,15:39:00,15:39:00,7649,19,,1,1,17.5250,0
3308871,15:42:00,15:42:00,7650,20,,0,0,20.4141,0
3308871,15:44:00,15:44:00,7651,21,,0,0,21.9661,0
3308871,15:48:00,15:48:00,7652,22,,0,0,24.7226,0
3308871,15:49:00,15:49:00,7654,23,,0,0,25.8232,0
3308871,15:56:00,15:56:00,7655,24,,0,0,32.7440,0
3308871,15:58:00,15:58:00,7656,25,,0,0,33.2614,0
3308871,16:00:00,16:00:00,7657,26,,0,0,34.9715,1
3308871,16:05:00,16:05:00,7658,27,,0,0,38.8566,0
3308871,16:08:00,16:08:00,7659,28,,0,0,40.1749,0
3308871,16:10:00,16:10:00,7660,29,,0,0,41.1329,0
3308871,16:13:00,16:13:00,7661,30,,0,0,41.6244,0
3308871,16:15:00,16:15:00,7662,31,,1,0,42.2882,1
3308872,14:28:00,14:28:00,7625,1,,0,1,0.0813,1
3308872,14:30:00,14:30:00,7626,2,,0,0,1.4841,0
3308872,14:33:00,14:33:00,7630,3,,0,0,4.0478,0
3308872,14:36:00,14:36:00,7631,4,,0,0,5.6132,1
3308872,14:38:00,14:38:00,7632,5,,0,0,6.6055,0
3308872,14:40:00,14:40:00,7634,6,,0,0,8.2029,0
3308872,14:42:00,14:42:00,7635,7,,0,0,9.0098,0
3308872,14:44:00,14:44:00,7637,8,,0,0,10.7426,0
3308872,14:46:00,14:46:00,7638,9,,0,0,11.4662,0
3308872,14:49:00,14:49:00,7639,10,,0,0,13.7097,0
3308872,14:51:00,14:51:00,7640,11,,0,0,14.1807,1
3308872,14:53:00,14:53:00,7641,12,,0,0,14.4571,0
3308872,14:55:31,14:55:31,7642,13,,0,0,14.8011,0
3308872,14:58:00,14:58:00,7643,14,,0,0,15.1781,1
3308872,15:01:00,15:01:00,7644,15,,0,0,15.6886,0
